workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"rbt-proplang-rocq","BespokeGenerator","InsertValid",["no_balance_insert_1"],"solve",0.00,0.00,0.00,0.0002
"rbt-proplang-rocq","BespokeGenerator","InsertValid",["no_balance_insert_2"],"solve",0.00,0.00,0.00,0.0001
"rbt-proplang-rocq","BespokeGenerator","InsertValid",["swap_bc"],"solve",0.00,0.00,0.00,0.0009
"rbt-proplang-rocq","BespokeGenerator","InsertValid",["swap_cd"],"solve",0.00,0.00,0.00,0.0006
"rbt-proplang-rocq","BespokeGenerator","DeleteValid",["miscolor_delete"],"solve",0.00,0.00,0.00,0.0002
"rbt-proplang-rocq","BespokeGenerator","DeleteValid",["miscolor_balLeft"],"solve",0.00,0.00,0.00,0.0018
"rbt-proplang-rocq","BespokeGenerator","DeleteValid",["miscolor_balRight"],"solve",0.00,0.00,0.00,0.0019
"rbt-proplang-rocq","BespokeGenerator","DeleteValid",["miscolor_join_1"],"solve",0.00,0.00,0.00,0.0049
"rbt-proplang-rocq","BespokeGenerator","DeleteValid",["miscolor_join_2"],"solve",0.00,0.00,0.00,0.0004
"rbt-proplang-rocq","BespokeGenerator","DeleteValid",["swap_bc"],"solve",0.00,0.00,0.00,0.0136
"rbt-proplang-rocq","BespokeGenerator","DeleteValid",["swap_cd"],"solve",0.00,0.00,0.00,0.0026
"rbt-proplang-rocq","SpecificationBasedGenerator","InsertPost",["insert_1"],"solve",0.00,0.40,0.00,0.0005
"rbt-proplang-rocq","SpecificationBasedGenerator","InsertPost",["insert_2"],"solve",0.00,0.30,0.00,0.0014
"rbt-proplang-rocq","SpecificationBasedGenerator","InsertPost",["insert_3"],"solve",0.00,5.10,0.00,0.0034
"rbt-proplang-rocq","SpecificationBasedGenerator","InsertPost",["swap_bc"],"solve",0.00,91.30,0.00,0.2930
"rbt-proplang-rocq","SpecificationBasedGenerator","InsertPost",["swap_cd"],"solve",0.00,0.10,0.00,0.0194
"rbt-proplang-rocq","SpecificationBasedGenerator","InsertModel",["insert_1"],"solve",0.00,0.00,0.00,0.0001
"rbt-proplang-rocq","SpecificationBasedGenerator","InsertModel",["insert_2"],"solve",0.00,0.10,0.00,0.0005
"rbt-proplang-rocq","SpecificationBasedGenerator","InsertModel",["insert_3"],"solve",0.00,0.10,0.00,0.0005
"rbt-proplang-rocq","SpecificationBasedGenerator","InsertModel",["swap_bc"],"solve",0.00,12.20,0.00,0.0245
"rbt-proplang-rocq","SpecificationBasedGenerator","InsertModel",["swap_cd"],"solve",0.00,0.10,0.00,0.0005
"rbt-proplang-rocq","SpecificationBasedGenerator","DeleteInsert",["insert_1"],"solve",0.00,0.00,0.00,0.0002
"rbt-proplang-rocq","SpecificationBasedGenerator","DeleteInsert",["insert_2"],"solve",0.00,0.00,0.00,0.0017
"rbt-proplang-rocq","SpecificationBasedGenerator","DeleteInsert",["delete_4"],"solve",0.00,0.10,0.00,0.0001
"rbt-proplang-rocq","SpecificationBasedGenerator","DeleteInsert",["delete_5"],"solve",0.00,0.00,0.00,0.0002
"rbt-proplang-rocq","SpecificationBasedGenerator","DeleteInsert",["miscolor_insert"],"solve",0.00,0.10,0.00,0.0003
"rbt-proplang-rocq","SpecificationBasedGenerator","DeleteInsert",["no_balance_insert_1"],"solve",NaN,NaN,NaN,NaN
