workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"rbt-rocq","BespokeGenerator","InsertValid",["swap_cd"],"solve",0.00,0.00,0.00,0.0006
"rbt-rocq","BespokeGenerator","DeleteValid",["miscolor_delete"],"solve",4.20,0.00,0.00,0.0001
"rbt-rocq","BespokeGenerator","DeleteValid",["miscolor_balLeft"],"solve",205.50,0.00,0.00,0.0038
"rbt-rocq","BespokeGenerator","DeleteValid",["miscolor_balRight"],"solve",200.00,0.00,0.00,0.0034
"rbt-rocq","BespokeGenerator","DeleteValid",["miscolor_join_1"],"solve",445.10,0.00,0.00,0.0054
"rbt-rocq","BespokeGenerator","DeleteValid",["miscolor_join_2"],"solve",23.40,0.00,0.00,0.0006
"rbt-rocq","BespokeGenerator","DeleteValid",["swap_bc"],"solve",0.00,0.00,0.00,0.0093
"rbt-rocq","BespokeGenerator","DeleteValid",["swap_cd"],"solve",0.00,0.00,0.00,0.0030
"rbt-rocq","SpecificationBasedGenerator","DeleteDelete",["delete_4"],"solve",337.20,9.60,0.00,0.0069
"rbt-rocq","SpecificationBasedGenerator","DeleteDelete",["delete_5"],"solve",5027.30,75.90,0.00,0.1096
"rbt-rocq","SpecificationBasedGenerator","DeleteDelete",["miscolor_balLeft"],"solve",NaN,NaN,NaN,NaN
"rbt-rocq","SpecificationBasedGenerator","DeleteDelete",["miscolor_balRight"],"solve",NaN,NaN,NaN,NaN
"rbt-rocq","SpecificationBasedGenerator","DeleteDelete",["miscolor_join_2"],"solve",27811.60,129.40,0.00,0.5714
"rbt-rocq","SpecificationBasedGenerator","DeleteDelete",["swap_bc"],"solve",NaN,NaN,NaN,NaN
"rbt-rocq","SpecificationBasedGenerator","DeleteDelete",["swap_cd"],"solve",0.00,4190.40,0.00,1.4128
"rbt-rocq","SpecificationBasedGenerator","DeleteModel",["delete_4"],"solve",1.00,0.00,0.00,0.0000
"rbt-rocq","SpecificationBasedGenerator","DeleteModel",["delete_5"],"solve",15.40,0.10,0.00,0.0006
"rbt-rocq","SpecificationBasedGenerator","DeleteModel",["swap_bc"],"solve",NaN,NaN,NaN,NaN
"rbt-rocq","SpecificationBasedGenerator","DeleteModel",["swap_cd"],"solve",0.00,74.10,0.00,0.2173
"rbt-rocq","SpecificationBasedGenerator","DeletePost",["delete_4"],"solve",24.30,0.70,0.00,0.0007
"rbt-rocq","SpecificationBasedGenerator","DeletePost",["delete_5"],"solve",212.20,3.40,0.00,0.0052
"rbt-rocq","SpecificationBasedGenerator","DeletePost",["swap_bc"],"solve",NaN,NaN,NaN,NaN
"rbt-rocq","SpecificationBasedGenerator","DeletePost",["swap_cd"],"solve",0.00,2086.80,0.00,10.6691
"rbt-rocq","SpecificationBasedGenerator","DeleteInsert",["delete_4"],"solve",2.40,0.00,0.00,0.0001
"rbt-rocq","SpecificationBasedGenerator","DeleteInsert",["insert_1"],"solve",1.00,0.00,0.00,0.0001
"rbt-rocq","SpecificationBasedGenerator","DeleteInsert",["insert_2"],"solve",144.70,1.30,0.00,0.0044
"rbt-rocq","SpecificationBasedGenerator","DeleteInsert",["delete_5"],"solve",1.00,0.10,0.00,0.0001
"rbt-rocq","SpecificationBasedGenerator","DeleteInsert",["miscolor_insert"],"solve",1.00,0.00,0.00,0.0001
"rbt-rocq","SpecificationBasedGenerator","DeleteInsert",["no_balance_insert_1"],"solve",NaN,NaN,NaN,NaN
"rbt-rocq","SpecificationBasedGenerator","DeleteInsert",["no_balance_insert_2"],"solve",0.00,5.40,0.00,0.0039
"rbt-rocq","SpecificationBasedGenerator","DeleteInsert",["swap_bc"],"solve",0.00,15.20,0.00,0.1217
"rbt-rocq","SpecificationBasedGenerator","DeleteInsert",["swap_cd"],"solve",0.00,0.00,0.00,0.0004
"rbt-rocq","SpecificationBasedGenerator","InsertDelete",["delete_4"],"solve",1.00,0.10,0.00,0.0007
"rbt-rocq","SpecificationBasedGenerator","InsertDelete",["insert_2"],"solve",120.10,1.90,0.00,0.0030
"rbt-rocq","SpecificationBasedGenerator","InsertDelete",["insert_3"],"solve",245.40,7.40,0.00,0.0067
