workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"systemf-racket","RackcheckBespoke","SinglePreserve",["subst_var_no_decr"],"solve",0.00,0.00,0.00,0.1589
"systemf-racket","RackcheckBespoke","SinglePreserve",["tshift_all_no_incr"],"solve",0.00,0.00,0.00,1.2483
"systemf-racket","RackcheckBespoke","SinglePreserve",["tshift_tvar_all"],"solve",0.00,0.00,0.00,0.1060
"systemf-racket","RackcheckBespoke","SinglePreserve",["tshift_tvar_no_incr"],"solve",0.00,0.00,0.00,0.1296
"systemf-racket","RackcheckBespoke","SinglePreserve",["tsubst_all_no_shift"],"solve",0.00,0.00,0.00,0.3224
"systemf-racket","RackcheckBespoke","SinglePreserve",["tsubst_tvar_flip"],"solve",0.00,0.00,0.00,0.0058
"systemf-racket","RackcheckBespoke","SinglePreserve",["tsubst_tvar_no_shift"],"solve",0.00,0.00,0.00,0.0207
"systemf-racket","RackcheckBespoke","SinglePreserve",["tsubst_tvar_over_shift"],"solve",0.00,0.00,0.00,0.0098
"systemf-racket","RackcheckBespoke","MultiPreserve",["shift_abs_no_incr"],"solve",0.00,0.00,0.00,0.0535
"systemf-racket","RackcheckBespoke","MultiPreserve",["shift_typ_tabs_no_incr"],"solve",0.00,0.00,0.00,0.0585
"systemf-racket","RackcheckBespoke","MultiPreserve",["shift_var_all"],"solve",0.00,0.00,0.00,0.0879
"systemf-racket","RackcheckBespoke","MultiPreserve",["shift_var_no_incr"],"solve",0.00,0.00,0.00,3.2548
"systemf-racket","RackcheckBespoke","MultiPreserve",["subst_abs_no_incr"],"solve",0.00,0.00,0.00,0.0085
"systemf-racket","RackcheckBespoke","MultiPreserve",["subst_abs_no_shift"],"solve",0.00,0.00,0.00,6.1043
"systemf-racket","RackcheckBespoke","MultiPreserve",["subst_tabs_no_shift"],"solve",0.00,0.00,0.00,0.2365
"systemf-racket","RackcheckBespoke","MultiPreserve",["subst_typ_tabs_no_incr"],"solve",0.00,0.00,0.00,0.0083
"systemf-racket","RackcheckBespoke","MultiPreserve",["subst_typ_tabs_no_shift"],"solve",0.00,0.00,0.00,0.2543
"systemf-racket","RackcheckBespoke","MultiPreserve",["subst_var_flip"],"solve",0.00,0.00,0.00,0.0098
"systemf-racket","RackcheckBespoke","MultiPreserve",["subst_var_no_decr"],"solve",0.00,0.00,0.00,0.1338
"systemf-racket","RackcheckBespoke","MultiPreserve",["tshift_all_no_incr"],"solve",0.00,0.00,0.00,0.9316
"systemf-racket","RackcheckBespoke","MultiPreserve",["tshift_tvar_all"],"solve",0.00,0.00,0.00,0.1069
"systemf-racket","RackcheckBespoke","MultiPreserve",["tshift_tvar_no_incr"],"solve",0.00,0.00,0.00,0.1378
"systemf-racket","RackcheckBespoke","MultiPreserve",["tsubst_all_no_shift"],"solve",0.00,0.00,0.00,0.6149
"systemf-racket","RackcheckBespoke","MultiPreserve",["tsubst_tvar_flip"],"solve",0.00,0.00,0.00,0.0056
"systemf-racket","RackcheckBespoke","MultiPreserve",["tsubst_tvar_no_shift"],"solve",0.00,0.00,0.00,0.0173
"systemf-racket","RackcheckBespoke","MultiPreserve",["tsubst_tvar_over_shift"],"solve",0.00,0.00,0.00,0.0088
