workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"rbt-racket","RackcheckBespoke","DeleteValid",["miscolor_delete"],"solve",0.00,0.00,0.00,0.0003
"rbt-racket","RackcheckBespoke","DeleteValid",["miscolor_balLeft"],"solve",0.00,0.00,0.00,0.0101
"rbt-racket","RackcheckBespoke","DeleteValid",["miscolor_balRight"],"solve",0.00,0.00,0.00,0.0094
"rbt-racket","RackcheckBespoke","DeleteValid",["miscolor_join_1"],"solve",0.00,0.00,0.00,1.3196
"rbt-racket","RackcheckBespoke","DeleteValid",["miscolor_join_2"],"solve",0.00,0.00,0.00,0.0058
"rbt-racket","RackcheckBespoke","DeleteValid",["swap_bc"],"solve",0.00,0.00,0.00,0.2381
"rbt-racket","RackcheckBespoke","DeleteValid",["swap_cd"],"solve",0.00,0.00,0.00,0.0127
"rbt-racket","ProplangBespoke","DeleteDelete",["delete_4"],"solve",0.00,0.00,0.00,0.0021
"rbt-racket","ProplangBespoke","DeleteDelete",["delete_5"],"solve",0.00,0.00,0.00,0.0009
"rbt-racket","ProplangBespoke","DeleteDelete",["miscolor_balLeft"],"solve",0.00,0.00,0.00,0.0159
"rbt-racket","ProplangBespoke","DeleteDelete",["miscolor_balRight"],"solve",0.00,0.00,0.00,0.0565
"rbt-racket","ProplangBespoke","DeleteDelete",["miscolor_join_2"],"solve",0.00,0.00,0.00,0.0284
"rbt-racket","ProplangBespoke","DeleteDelete",["swap_bc"],"solve",0.00,0.00,0.00,0.2534
"rbt-racket","ProplangBespoke","DeleteDelete",["swap_cd"],"solve",0.00,0.00,0.00,0.0368
"rbt-racket","ProplangBespoke","DeleteModel",["delete_4"],"solve",0.00,0.00,0.00,0.0001
"rbt-racket","ProplangBespoke","DeleteModel",["delete_5"],"solve",0.00,0.00,0.00,0.0003
"rbt-racket","ProplangBespoke","DeleteModel",["swap_bc"],"solve",0.00,0.00,0.00,0.1853
"rbt-racket","ProplangBespoke","DeleteModel",["swap_cd"],"solve",0.00,0.00,0.00,0.0159
"rbt-racket","ProplangBespoke","DeletePost",["delete_4"],"solve",0.00,0.00,0.00,0.0002
"rbt-racket","ProplangBespoke","DeletePost",["delete_5"],"solve",0.00,0.00,0.00,0.0009
"rbt-racket","ProplangBespoke","DeletePost",["swap_bc"],"solve",0.00,0.00,0.00,0.7032
"rbt-racket","ProplangBespoke","DeletePost",["swap_cd"],"solve",0.00,0.00,0.00,0.1473
"rbt-racket","ProplangBespoke","DeleteInsert",["delete_4"],"solve",0.00,0.00,0.00,0.0001
"rbt-racket","ProplangBespoke","DeleteInsert",["insert_1"],"solve",0.00,0.00,0.00,0.0004
"rbt-racket","ProplangBespoke","DeleteInsert",["insert_2"],"solve",0.00,0.00,0.00,0.0004
"rbt-racket","ProplangBespoke","DeleteInsert",["delete_5"],"solve",0.00,0.00,0.00,0.0005
"rbt-racket","ProplangBespoke","DeleteInsert",["miscolor_insert"],"solve",0.00,0.00,0.00,0.0005
"rbt-racket","ProplangBespoke","DeleteInsert",["no_balance_insert_1"],"solve",0.00,0.00,0.00,0.2490
"rbt-racket","ProplangBespoke","DeleteInsert",["no_balance_insert_2"],"solve",0.00,0.00,0.00,0.2573
"rbt-racket","ProplangBespoke","DeleteInsert",["swap_bc"],"solve",0.00,0.00,0.00,0.0259
"rbt-racket","ProplangBespoke","DeleteInsert",["swap_cd"],"solve",0.00,0.00,0.00,0.0044
