workload,strategy,property,mutations,mode,discards,tests,shrinks,time
"bst-rocq","BespokeGenerator","UnionUnionIdem",["union_6"],"solve",0.00,0.00,0.00,0.0000
"bst-rocq","SpecificationBasedGenerator","InsertPost",["insert_1"],"solve",3.20,0.00,0.00,0.0002
"bst-rocq","SpecificationBasedGenerator","InsertPost",["insert_2"],"solve",15.90,0.00,0.00,0.0013
"bst-rocq","SpecificationBasedGenerator","InsertPost",["insert_3"],"solve",10.40,0.00,0.00,0.0009
"bst-rocq","SpecificationBasedGenerator","InsertModel",["insert_1"],"solve",1.00,0.00,0.00,0.0001
"bst-rocq","SpecificationBasedGenerator","InsertModel",["insert_2"],"solve",6.90,0.00,0.00,0.0007
"bst-rocq","SpecificationBasedGenerator","InsertModel",["insert_3"],"solve",3.70,0.00,0.00,0.0002
"bst-rocq","SpecificationBasedGenerator","DeleteInsert",["insert_1"],"solve",1.10,0.00,0.00,0.0001
"bst-rocq","SpecificationBasedGenerator","DeleteInsert",["insert_2"],"solve",5.70,0.00,0.00,0.0004
"bst-rocq","SpecificationBasedGenerator","DeleteInsert",["delete_4"],"solve",4.30,0.00,0.00,0.0003
"bst-rocq","SpecificationBasedGenerator","DeleteInsert",["delete_5"],"solve",1.10,0.00,0.00,0.0000
"bst-rocq","SpecificationBasedGenerator","InsertInsert",["insert_1"],"solve",2.40,0.00,0.00,0.0002
"bst-rocq","SpecificationBasedGenerator","InsertInsert",["insert_2"],"solve",9.30,0.00,0.00,0.0010
"bst-rocq","SpecificationBasedGenerator","InsertInsert",["insert_3"],"solve",5.00,0.00,0.00,0.0004
"bst-rocq","SpecificationBasedGenerator","InsertUnion",["insert_1"],"solve",1.00,0.00,0.00,0.0001
"bst-rocq","SpecificationBasedGenerator","InsertUnion",["insert_2"],"solve",9.00,0.00,0.00,0.0010
"bst-rocq","SpecificationBasedGenerator","InsertUnion",["insert_3"],"solve",7.10,0.00,0.00,0.0013
"bst-rocq","SpecificationBasedGenerator","InsertUnion",["union_6"],"solve",2.80,0.00,0.00,0.0002
"bst-rocq","SpecificationBasedGenerator","InsertUnion",["union_7"],"solve",4.20,0.00,0.00,0.0007
"bst-rocq","SpecificationBasedGenerator","InsertUnion",["union_8"],"solve",5.80,0.00,0.00,0.0004
"bst-rocq","SpecificationBasedGenerator","UnionDeleteInsert",["insert_1"],"solve",1.20,0.00,0.00,0.0001
"bst-rocq","SpecificationBasedGenerator","UnionDeleteInsert",["insert_2"],"solve",3.30,0.00,0.00,0.0003
"bst-rocq","SpecificationBasedGenerator","UnionDeleteInsert",["insert_3"],"solve",3.40,0.00,0.00,0.0003
"bst-rocq","SpecificationBasedGenerator","UnionDeleteInsert",["delete_4"],"solve",1.50,0.00,0.00,0.0001
"bst-rocq","SpecificationBasedGenerator","UnionDeleteInsert",["delete_5"],"solve",3.70,0.00,0.00,0.0004
"bst-rocq","SpecificationBasedGenerator","UnionDeleteInsert",["union_6"],"solve",1.10,0.00,0.00,0.0001
"bst-rocq","SpecificationBasedGenerator","UnionDeleteInsert",["union_7"],"solve",2.60,0.00,0.00,0.0002
"bst-rocq","SpecificationBasedGenerator","UnionDeleteInsert",["union_8"],"solve",3.20,0.00,0.00,0.0002
"bst-rocq","SpecificationBasedGenerator","InsertDelete",["insert_2"],"solve",9.00,0.00,0.00,0.0005
"bst-rocq","SpecificationBasedGenerator","InsertDelete",["insert_3"],"solve",3.90,0.00,0.00,0.0002
"bst-rocq","SpecificationBasedGenerator","InsertDelete",["delete_4"],"solve",1.20,0.00,0.00,0.0001
"bst-rocq","SpecificationBasedGenerator","DeleteModel",["delete_4"],"solve",1.00,0.00,0.00,0.0001
"bst-rocq","SpecificationBasedGenerator","DeleteModel",["delete_5"],"solve",4.40,0.00,0.00,0.0003
"bst-rocq","SpecificationBasedGenerator","DeletePost",["delete_4"],"solve",5.10,0.00,0.00,0.0004
"bst-rocq","SpecificationBasedGenerator","DeletePost",["delete_5"],"solve",16.40,0.00,0.00,0.0006
"bst-rocq","SpecificationBasedGenerator","DeleteDelete",["delete_4"],"solve",11.90,0.00,0.00,0.0007
"bst-rocq","SpecificationBasedGenerator","DeleteDelete",["delete_5"],"solve",35.80,0.00,0.00,0.0025
"bst-rocq","SpecificationBasedGenerator","DeleteUnion",["delete_4"],"solve",6.20,0.00,0.00,0.0008
"bst-rocq","SpecificationBasedGenerator","DeleteUnion",["delete_5"],"solve",12.00,0.00,0.00,0.0015
"bst-rocq","SpecificationBasedGenerator","DeleteUnion",["union_6"],"solve",3.30,0.00,0.00,0.0003
"bst-rocq","SpecificationBasedGenerator","DeleteUnion",["union_7"],"solve",4.50,0.00,0.00,0.0008
"bst-rocq","SpecificationBasedGenerator","DeleteUnion",["union_8"],"solve",12.60,0.00,0.00,0.0016
"bst-rocq","SpecificationBasedGenerator","UnionValid",["union_6"],"solve",1.10,0.00,0.00,0.0001
"bst-rocq","SpecificationBasedGenerator","UnionValid",["union_7"],"solve",2.10,0.00,0.00,0.0002
"bst-rocq","SpecificationBasedGenerator","UnionPost",["union_6"],"solve",14.50,0.00,0.00,0.0021
"bst-rocq","SpecificationBasedGenerator","UnionPost",["union_7"],"solve",7.10,0.00,0.00,0.0010
"bst-rocq","SpecificationBasedGenerator","UnionPost",["union_8"],"solve",10.60,0.00,0.00,0.0011
"bst-rocq","SpecificationBasedGenerator","UnionModel",["union_6"],"solve",1.20,0.00,0.00,0.0001
"bst-rocq","SpecificationBasedGenerator","UnionModel",["union_7"],"solve",2.40,0.00,0.00,0.0001
"bst-rocq","SpecificationBasedGenerator","UnionModel",["union_8"],"solve",3.00,0.00,0.00,0.0002
"bst-rocq","SpecificationBasedGenerator","UnionUnionAssoc",["union_6"],"solve",0.00,0.00,0.00,0.0002
"bst-rocq","SpecificationBasedGenerator","UnionUnionAssoc",["union_7"],"solve",0.00,0.00,0.00,0.0002
"bst-rocq","SpecificationBasedGenerator","UnionUnionAssoc",["union_8"],"solve",0.00,0.00,0.00,0.0004
"bst-rocq","SpecificationBasedGenerator","UnionUnionIdem",["union_6"],"solve",0.00,0.00,0.00,0.0001
"bst-rocq","TypeBasedGenerator","InsertPost",["insert_1"],"solve",8.80,1.70,0.00,0.0009
"bst-rocq","TypeBasedGenerator","InsertPost",["insert_2"],"solve",53.10,19.10,0.00,0.0122
"bst-rocq","TypeBasedGenerator","InsertPost",["insert_3"],"solve",209.90,0.00,0.00,0.0534
"bst-rocq","TypeBasedGenerator","InsertModel",["insert_1"],"solve",5.90,2.40,0.00,0.0004
"bst-rocq","TypeBasedGenerator","InsertModel",["insert_2"],"solve",9.50,0.40,0.00,0.0018
"bst-rocq","TypeBasedGenerator","InsertModel",["insert_3"],"solve",35.70,1.50,0.00,0.0135
"bst-rocq","TypeBasedGenerator","DeleteInsert",["insert_1"],"solve",28.50,0.00,0.00,0.0071
"bst-rocq","TypeBasedGenerator","DeleteInsert",["insert_2"],"solve",39.20,2.20,0.00,0.0080
"bst-rocq","TypeBasedGenerator","DeleteInsert",["delete_4"],"solve",2.90,0.00,0.00,0.0001
"bst-rocq","TypeBasedGenerator","DeleteInsert",["delete_5"],"solve",56.20,70.90,0.00,0.0105
"bst-rocq","TypeBasedGenerator","InsertInsert",["insert_1"],"solve",3.10,0.00,0.00,0.0001
"bst-rocq","TypeBasedGenerator","InsertInsert",["insert_2"],"solve",3.40,0.00,0.00,0.0000
"bst-rocq","TypeBasedGenerator","InsertInsert",["insert_3"],"solve",2.70,0.10,0.00,0.0001
"bst-rocq","TypeBasedGenerator","InsertUnion",["insert_1"],"solve",8.60,15.00,0.00,0.0149
"bst-rocq","TypeBasedGenerator","InsertUnion",["insert_2"],"solve",4.90,0.10,0.00,0.0039
"bst-rocq","TypeBasedGenerator","InsertUnion",["insert_3"],"solve",4.60,1.10,0.00,0.0066
"bst-rocq","TypeBasedGenerator","InsertUnion",["union_6"],"solve",7.40,0.00,0.00,0.0138
"bst-rocq","TypeBasedGenerator","InsertUnion",["union_7"],"solve",16.60,209.40,0.00,0.0402
"bst-rocq","TypeBasedGenerator","InsertUnion",["union_8"],"solve",15.30,15.10,0.00,0.0301
"bst-rocq","TypeBasedGenerator","UnionDeleteInsert",["insert_1"],"solve",6.90,0.00,0.00,0.0123
"bst-rocq","TypeBasedGenerator","UnionDeleteInsert",["insert_2"],"solve",9.50,0.90,0.00,0.0188
"bst-rocq","TypeBasedGenerator","UnionDeleteInsert",["insert_3"],"solve",55.10,159.20,0.00,0.2006
"bst-rocq","TypeBasedGenerator","UnionDeleteInsert",["delete_4"],"solve",5.70,0.20,0.00,0.0061
"bst-rocq","TypeBasedGenerator","UnionDeleteInsert",["delete_5"],"solve",160.10,0.50,0.00,0.6985
"bst-rocq","TypeBasedGenerator","UnionDeleteInsert",["union_6"],"solve",9.60,7.70,0.00,0.0194
"bst-rocq","TypeBasedGenerator","UnionDeleteInsert",["union_7"],"solve",9.80,0.00,0.00,0.0174
"bst-rocq","TypeBasedGenerator","UnionDeleteInsert",["union_8"],"solve",8.70,0.60,0.00,0.0140
"bst-rocq","TypeBasedGenerator","InsertDelete",["insert_2"],"solve",37.20,9.20,0.00,0.0086
"bst-rocq","TypeBasedGenerator","InsertDelete",["insert_3"],"solve",189.40,190.50,0.00,0.0480
"bst-rocq","TypeBasedGenerator","InsertDelete",["delete_4"],"solve",2.50,0.00,0.00,0.0001
"bst-rocq","TypeBasedGenerator","DeleteModel",["delete_4"],"solve",5.00,0.10,0.00,0.0005
"bst-rocq","TypeBasedGenerator","DeleteModel",["delete_5"],"solve",219.60,7.20,0.00,0.0495
"bst-rocq","TypeBasedGenerator","DeletePost",["delete_4"],"solve",34.40,0.00,0.00,0.0087
"bst-rocq","TypeBasedGenerator","DeletePost",["delete_5"],"solve",1664.20,1074.20,0.00,0.4345
"bst-rocq","TypeBasedGenerator","DeleteDelete",["delete_4"],"solve",14332.20,35731.20,0.70,5.7156
"bst-rocq","TypeBasedGenerator","DeleteDelete",["delete_5"],"solve",1436.00,488.30,0.40,0.4509
"bst-rocq","TypeBasedGenerator","DeleteUnion",["delete_4"],"solve",264.90,0.10,0.00,1.2799
"bst-rocq","TypeBasedGenerator","DeleteUnion",["delete_5"],"solve",274.40,428.10,0.00,1.2488
"bst-rocq","TypeBasedGenerator","DeleteUnion",["union_6"],"solve",469.90,3160.70,0.00,2.4068
"bst-rocq","TypeBasedGenerator","DeleteUnion",["union_7"],"solve",1002.70,3115.80,0.00,5.1103
"bst-rocq","TypeBasedGenerator","DeleteUnion",["union_8"],"solve",3636.20,11428.70,0.00,19.4170
"bst-rocq","TypeBasedGenerator","UnionValid",["union_6"],"solve",50.50,0.00,0.00,0.1916
"bst-rocq","TypeBasedGenerator","UnionValid",["union_7"],"solve",303.30,1447.50,0.00,1.3931
